Area,Room,Supply,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Date,Month
Hualien,1286,38580,18123,0.47,3281.78,59475777,44462233,116897606,1541.62,9/1/2019,19-Sep
Kaohsiung,3456,103680,62205,0.6,2305.49,143412850,202157968,408737111,1383.23,9/1/2019,19-Sep
Others,4795,143850,77251,0.54,3411.59,263548816,251537909,579051810,1832.11,9/1/2019,19-Sep
Scenery,2980,89400,47042,0.53,5213.05,245232363,109483018,386136568,2743.09,9/1/2019,19-Sep
Taichung,1484,44520,25312,0.57,2539.53,64280587,125345464,220414611,1443.86,9/1/2019,19-Sep
Taipei,11138,334140,226577,0.68,4192.23,949863610,1161302037,2457922813,2842.71,9/1/2019,19-Sep
Taoyuan-Hsinchu-Miaoli,3695,110850,64708,0.58,2701.83,174829987,233654617,441804111,1577.18,9/1/2019,19-Sep
Hualien,1286,39866,22427,0.56,3312.51,74289559,48755635,136250608,1863.48,10/1/2019,19-Oct
Kaohsiung,3456,107136,69952,0.65,2360.47,165119323,203371646,398053997,1541.21,10/1/2019,19-Oct
Others,4735,146785,88205,0.6,3513.89,309942961,278764064,662816035,2111.54,10/1/2019,19-Oct
Scenery,2864,88784,54480,0.61,5209.34,283804608,124427056,445575955,3196.57,10/1/2019,19-Oct
Taichung,1484,46004,30813,0.67,2637.54,81270468,101644163,232838604,1766.6,10/1/2019,19-Oct
Taipei,11149,345619,261146,0.76,4423.48,1155174757,1172107112,2664398419,3342.34,10/1/2019,19-Oct
Taoyuan-Hsinchu-Miaoli,3695,114545,80641,0.7,2733.58,220438313,226593046,485659894,1924.47,10/1/2019,19-Oct
Hualien,1286,38580,20412,0.53,3008.5,61409402,48328395,121844266,1591.74,11/1/2019,19-Nov
Kaohsiung,3159,94770,69812,0.74,2374.23,165749591,221348387,420593745,1748.97,11/1/2019,19-Nov
Others,4735,142050,87108,0.61,3516.82,306343256,289113609,697801731,2156.59,11/1/2019,19-Nov
Scenery,2864,85920,54002,0.63,4873.28,263166722,132418963,432203623,3062.93,11/1/2019,19-Nov
Taichung,1484,44520,31751,0.71,2447.36,77706011,105432113,215413580,1745.42,11/1/2019,19-Nov
Taipei,11255,337650,281554,0.83,4504.09,1268143332,1305931396,2940105569,3755.79,11/1/2019,19-Nov
Taoyuan-Hsinchu-Miaoli,3690,110700,80932,0.73,2702.53,218721363,225218031,481380747,1975.8,11/1/2019,19-Nov
Hualien,1286,39866,20412,0.51,3008.5,61409402,48328395,121844266,1540.4,12/1/2019,19-Dec
Kaohsiung,3159,97929,69812,0.71,2374.23,165749591,221348387,420593745,1692.55,12/1/2019,19-Dec
Others,4735,146785,87108,0.59,3516.82,306343256,289113609,670369666,2087.02,12/1/2019,19-Dec
Scenery,2864,88784,54002,0.61,4873.28,263166722,132418963,432203623,2964.12,12/1/2019,19-Dec
Taichung,1484,46004,31751,0.69,2447.36,77706011,105432113,215413580,1689.11,12/1/2019,19-Dec
Taipei,11149,345619,281554,0.81,4504.09,1268143332,1305931396,2940105569,3669.19,12/1/2019,19-Dec
Taoyuan-Hsinchu-Miaoli,3690,114390,80932,0.71,2702.53,218721363,225218031,481380747,1912.07,12/1/2019,19-Dec
Hualien,1286,39866,20761,0.52,4129.7,85736711,57657892,157866836,2150.62,1/1/2020,20-Jan
Kaohsiung,3149,97619,59298,0.61,2942.22,174467903,335165315,542424279,1787.23,1/1/2020,20-Jan
Others,4735,146785,79007,0.54,4408.66,348314753,382409828,810768132,2372.96,1/1/2020,20-Jan
Scenery,2864,88784,49517,0.56,6295.79,311748397,146195913,500694626,3511.31,1/1/2020,20-Jan
Taichung,1484,46004,24939,0.54,2901.24,72354009,166481104,268336135,1572.78,1/1/2020,20-Jan
Taipei,11251,348781,217938,0.62,4504.86,981779490,1732038468,3078170169,2814.89,1/1/2020,20-Jan
Taoyuan-Hsinchu-Miaoli,3821,118451,70578,0.6,2924.55,206408880,338933951,595752651,1742.57,1/1/2020,20-Jan
Hualien,1286,37294,15833,0.42,3359.19,53185992,29065678,92421510,1426.13,2/1/2020,20-Feb
Kaohsiung,3149,91321,29233,0.32,2429.08,71009158,127830420,219054389,777.58,2/1/2020,20-Feb
Others,4735,137315,50966,0.37,3615.56,184270830,165462723,399016876,1341.96,2/1/2020,20-Feb
Scenery,2864,83056,42179,0.51,5224.48,220363252,90484701,343249853,2653.19,2/1/2020,20-Feb
Taichung,1484,43036,16549,0.38,2422.25,40085791,48793077,105130762,931.45,2/1/2020,20-Feb
Taipei,11177,324133,98925,0.31,3896.58,385469414,643959444,1230349337,1189.23,2/1/2020,20-Feb
Taoyuan-Hsinchu-Miaoli,3814,110606,31952,0.29,2812.26,89857450,122055680,235867540,812.41,2/1/2020,20-Feb
Hualien,1286,39866,11162,0.28,2686.37,29985301,18765341,55290111,752.15,3/1/2020,20-Mar
