Hotel,Area,Room,Supply,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Demand,Date
花蓮亞士都飯店,Hualien,167,5177,0.46,1023.41,2461290,850000,3325150,475.43,2405,2019-07-31
鈺通大飯店,Others,120,3600,0.31,1739.94,1934818,6074615,8036553,537.45,1112,2019-06-30
遠百企業觀光旅館,Others,40,1240,0.06,1000.00,70000,0,70000,56.45,70,2019-10-31
尊爵天際大飯店,Taoyuan-Hsinchu-Miaoli,250,7750,0.82,2332.45,14780741,35394540,50766820,1907.19,6337,2019-05-31
阿⾥⼭賓館(新館),Scenery,102,3162,0.90,6852.00,19391641,9561628,29517338,6132.54,2830,2019-03-31
板橋凱撒大飯店,Others,400,12400,0.80,4050.35,38794223,9043316,47924051,3232.85,9578,2019-12-31
日勝生加賀屋國際溫泉飯店,Taipei,90,2700,0.47,5745.76,7343076,6935278,21086905,2719.66,1278,2019-09-30
晶華酒店,Taipei,538,16678,0.91,5681.45,83091223,136897633,274440377,5148.16,14625,2019-12-31
⼭泉⼤飯店,Others,146,4380,0.86,1983.00,7470514,1215165,9142820,1705.38,3767,2019-11-30
晶英國際行館,Kaohsiung,147,4557,0.30,6332.91,8682425,10604651,21920887,1905.29,1371,2019-08-31
墾丁怡灣渡假酒店,Scenery,236,7080,0.23,2519.00,4092670,424935,4591601,578.11,1625,2019-11-30
⾼雄國賓⼤飯店,Kaohsiung,453,14043,0.82,2068.00,23845370,44144277,70138340,1697.62,11528,2019-01-31
和昇帝景飯店,Others,60,1860,0.53,2554.00,2523810,5850,2529660,1356.68,988,2019-03-31
台北花園大酒店,Taipei,241,7471,0.90,2382.64,15935067,19619704,39051824,2132.92,6688,2019-05-31
慶泰⼤飯店,Taipei,150,4500,0.74,2823.00,9426635,4969596,14933349,2094.67,3339,2019-04-30
新竹老爺大酒店,Taoyuan-Hsinchu-Miaoli,208,6448,0.62,2980.18,11831319,12488071,25344723,1834.88,3970,2019-05-31
漢來⼤飯店,Kaohsiung,535,16585,0.77,3057.00,39172974,72846036,129256323,2362.14,12815,2019-03-31
陽明山中國麗緻大飯店,Scenery,47,1410,0.28,4045.31,1610032,2092784,5622028,1141.87,398,2019-06-30
第一大飯店,Taipei,176,5456,0.81,1580.45,6953999,3050764,29575038,1274.56,4400,2019-07-31
洛碁大飯店花華本館,Taipei,112,3472,0.87,1766.75,5144779,0,5144779,1531.18,2912,2019-12-31
樂樂日暉溫泉酒店,Others,48,1488,0.00,0.00,0,0,0,0.00,0,2019-07-31
趣淘漫旅,Scenery,198,5940,0.49,2621.00,7617932,3773968,12650067,1282.72,2907,2019-04-30
碧特弗⼤飯店,Others,54,1620,0.61,1930.00,1908639,100601,2009240,1178.26,989,2019-04-30
墾丁怡灣渡假酒店,Scenery,175,4900,0.26,4390.00,5641774,920837,6724868,1151.06,1285,2019-02-28
古華花園飯店,Taoyuan-Hsinchu-Miaoli,255,7905,0.89,2911.05,20496703,16685497,39107255,2592.88,7041,2019-10-31
台中港酒店,Taichung,200,5600,0.54,3072.00,9293251,2314686,12590178,1659.49,3025,2019-02-28
麒麟大飯店,Others,167,5177,0.23,4038.73,4737431,1430516,6405629,915.09,1173,2019-05-31
華園大飯店,Kaohsiung,269,8339,0.71,1475.51,8763054,5315475,14840807,1050.85,5939,2019-10-31
桃園喜來登酒店,Taoyuan-Hsinchu-Miaoli,187,5797,0.33,3726.68,7185030,5706505,14222012,1239.44,1928,2019-10-31
