Hotel,Area,Room,Supply,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Demand,Date
海灣藝術酒店,Taichung,226,7006,0.3,1478.73,3120120,293800,3476810,445.35,2110,7/1/2019
涵碧樓⼤飯店,Scenery,96,2976,0.84,14187.82,35426986,3809709,42107818,11904.23,2497,7/1/2019
漢來⼤飯店,Kaohsiung,535,16585,0.75,3093.1,38326580,65504199,119456730,2310.92,12391,7/1/2019
澎湖福朋喜來登酒店,Others,331,10261,0.55,3324.38,18889110,18542269,41446639,1840.86,5682,7/1/2019
瑞穗天合國際觀光酒店,Hualien,198,6138,0.65,8022.99,31939543,13801420,51931329,5203.57,3981,7/1/2019
瓏⼭林台北中和飯店,Others,126,3906,0.46,2404.05,4291234,2659875,8029361,1098.63,1785,7/1/2019
知本老爺大酒店,Scenery,182,5642,0.83,4216.26,19651982,11320381,35512348,3483.16,4661,7/1/2019
碧特弗⼤飯店,Others,54,1674,0.32,2247.78,1222790,170098,1392888,730.46,544,7/1/2019
礁溪老爺大酒店,Scenery,193,5983,0.82,6882.68,33587454,23968955,69660251,5613.81,4880,7/1/2019
神旺⼤飯店,Taipei,268,8308,0.86,2066.4,14764447,25642721,43568038,1777.14,7145,7/1/2019
福容大飯店(台北一館),Taipei,120,3720,0.5,3066.08,5684505,9022170,15820770,1528.09,1854,7/1/2019
福容大飯店(林口),Taoyuan-Hsinchu-Miaoli,149,4619,1,1801.49,8321081,2979586,11356514,1801.49,4619,7/1/2019
福容大飯店(桃園),Taoyuan-Hsinchu-Miaoli,182,5642,0.75,1904.03,8078790,4879996,13513804,1431.9,4243,7/1/2019
福容大飯店(淡水漁人碼頭),Others,198,6138,0.66,4354.71,17571263,19066295,39291143,2862.7,4035,7/1/2019
福容大飯店(福隆),Scenery,174,5394,0.62,5619.36,18746173,9864354,29487384,3475.38,3336,7/1/2019
福容大飯店(高雄),Kaohsiung,250,7750,0.75,1639.52,9579744,3296834,14313509,1236.1,5843,7/1/2019
福華大飯店,Taipei,606,18786,0.64,3500,42126000,38866000,94578000,2242.41,12036,7/1/2019
第一⼤飯店,Taipei,176,5456,0.81,1580.45,6953999,3050764,29575038,1274.56,4400,7/1/2019
綠舞國際觀光飯店,Others,104,3224,0.34,5998.46,6664287,2998452,10649377,2067.09,1111,7/1/2019
美侖⼤飯店,Hualien,343,10633,0.89,2514.59,23705081,10498036,35503164,2229.39,9427,7/1/2019
美麗信花園酒店,Taipei,203,6293,0.9,2052.77,11631018,6374586,24495246,1848.25,5666,7/1/2019
美麗春天⼤飯店,Others,34,1054,0.32,2276.32,778503,225478,1003981,738.62,342,7/1/2019
義大皇家酒店,Kaohsiung,656,20336,0.7,2966,42004492,25179097,71206922,2065.52,14162,7/1/2019
