Hotel,Area,Room,Supply,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Demand,Date
⻄華⼤飯店,Taipei,343,10633,0.7,4310,31908855,25824358,63674142,3001.05,7404,1/1/2020
⻑榮桂冠酒店(台中),Taichung,354,10974,0.6,2730,17859646,45927523,69405734,1627.63,6543,1/1/2020
⻑榮桂冠酒店(基隆),Others,140,4340,0.68,3378,9931498,5939549,18889844,2288.26,2940,1/1/2020
⻑榮鳳凰酒店(礁溪),Others,231,7161,0.79,6807,38482405,25296411,72131834,5373.45,5653,1/1/2020
三德大飯店,Taipei,287,8897,0.29,2295,5836843,427245,7273263,655.91,2543,1/1/2020
亞⼠都飯店,Taipei,40,1240,0.22,2280,624806,0,624806,503.88,274,1/1/2020
亞都麗緻⼤飯店,Taipei,209,6479,0.64,4082,17030812,21325739,46279942,2628.4,4172,1/1/2020
兄弟⼤飯店,Taipei,250,7750,0.61,3468,16270967,65909030,88955017,2099.53,4692,1/1/2020
全國⼤飯店,Taichung,178,5518,0.54,2402,7197640,22485565,32008639,1304.53,2997,1/1/2020
六福客棧,Taipei,230,7130,0.67,1462,7011241,10102588,17730644,983.49,4796,1/1/2020
凱撒⼤飯店,Scenery,281,8711,0.87,5180,39045751,8550758,49451114,4482.25,7538,1/1/2020
北投老爺酒店,Taipei,50,1550,0.6,7558,7028697,3523438,11775838,4534.8,930,1/1/2020
北投麗禧溫泉酒店,Taipei,66,2046,0.77,15411,24302360,13529388,46896630,11878.8,1577,1/1/2020
南⽅莊園渡假飯店,Taoyuan-Hsinchu-Miaoli,111,3441,0.62,5234,11142790,26907026,43722134,3238.28,2129,1/1/2020
古華花園飯店,Taoyuan-Hsinchu-Miaoli,255,7905,0.74,3058,17969967,20863260,41130717,2273.01,5876,1/1/2020
台中港酒店,Taichung,200,6200,0.47,2926,8569486,3416903,12775774,1382.24,2929,1/1/2020
台中福華⼤飯店,Taichung,155,4805,0.59,3028,8641917,20844585,32645260,1798.63,2854,1/1/2020
台中金典酒店,Taichung,222,6882,0.65,3646,16399514,31514519,60314699,2383.03,4498,1/1/2020
台北W飯店,Taipei,405,12555,0.69,8826,76705765,69996870,164471272,6109.36,8691,1/1/2020
台北中山雅樂軒酒店,Taipei,88,2728,0.68,3854,7106232,638114,8647763,2605.3,1844,1/1/2020
台北凱撒⼤飯店,Taipei,478,14818,0.72,4076,43319635,30856972,77021469,2923.31,10628,1/1/2020
台北君品大酒店,Taipei,286,8866,0.74,4997,32629081,59637845,97458669,3680.29,6530,1/1/2020
台北君悅酒店,Taipei,850,26350,0.62,6031,98944277,125793598,254434031,3754.9,16405,1/1/2020
台北寒舍喜來登⼤飯店,Taipei,688,21328,0.61,4829,63292847,147921618,234399860,2967.42,13107,1/1/2020
台北寒舍艾美酒店,Taipei,160,4960,0.65,9031,29306252,84231484,130726093,5908.08,3245,1/1/2020
台北有園飯店,Taipei,56,1736,0.68,3016,3585877,0,3888447,2065.66,1189,1/1/2020
台北美福大飯店,Taipei,146,4526,0.6,6851,18633800,93236212,120180058,4117.45,2720,1/1/2020
台北花園⼤酒店,Taipei,241,7471,0.86,2552,16397743,29927856,50418930,2194.72,6425,1/1/2020
台北華國大飯店,Taipei,326,10106,0.65,2936,19225152,28196247,49845151,1902.23,6548,1/1/2020
台北萬豪酒店,Taipei,318,9858,0.72,5386,38029331,95751047,159712656,3857.99,7061,1/1/2020
台北諾富特華航桃園機場飯店,Taoyuan-Hsinchu-Miaoli,516,15996,0.78,2741,34219611,27197161,67254894,2139.08,12483,1/1/2020
台南⼤員皇冠假⽇酒店,Others,231,7161,0.57,3825,15560778,26061160,45408299,2172.98,4068,1/1/2020
台南⼤飯店,Others,152,4712,0.68,2382,7628593,19458595,28895932,1619.28,3203,1/1/2020
台東桂⽥喜來登酒店,Others,278,8618,0.49,3517,14984498,15195086,32639251,1738.45,4260,1/1/2020
台糖⻑榮酒店(台南),Others,197,6107,0.67,3390,13918639,31753676,47774745,2279.1,4106,1/1/2020
合尊酒店 S Hotel,Taipei,101,3131,1,2509,7857015,3310591,12331558,2509,3131,1/1/2020
名人堂花園大飯店,Taoyuan-Hsinchu-Miaoli,128,3968,0.2,6516,5297614,20189746,33820321,1335.13,813,1/1/2020
名都觀光渡假大飯店,Scenery,97,3007,0.21,1925,1191617,2250588,3547114,396.36,619,1/1/2020
國王大飯店,Taipei,97,3007,0.48,1818,2606300,630428,3286713,867,1434,1/1/2020
國聯大飯店,Taipei,243,7533,0.45,2323,7808927,1815831,10643397,1036.52,3361,1/1/2020
國賓⼤飯店,Taipei,422,13082,0.57,3647,27229634,119806163,157208363,2081.34,7466,1/1/2020
圓山大飯店,Taipei,500,15500,0.69,3923,41850353,76393973,131547661,2699.81,10667,1/1/2020
墾丁怡灣渡假酒店,Scenery,236,7316,0.17,3220,4079895,272299,4843034,557.7,1267,1/1/2020
墾丁福華渡假飯店,Scenery,458,14198,0.47,3829,25614418,9280507,36219298,1803.84,6689,1/1/2020
⼤億麗緻酒店,Others,315,9765,0.65,4029,25449558,43328486,74478979,2605.96,6316,1/1/2020
⼤板根渡假酒店,Others,95,2945,0.88,5276,13749987,18531179,50448160,4668.73,2606,1/1/2020
天成⼤飯店,Taipei,225,6975,0.87,3271,19744921,47464057,72142437,2831.05,6037,1/1/2020
太魯閣晶英酒店,Scenery,160,4960,0.72,8550,30359304,10097371,44996250,6120.95,3551,1/1/2020
娜路彎⼤酒店,Others,276,8556,0.61,5468,28304446,12880966,46685777,3308.14,5176,1/1/2020
寒舍艾麗酒店,Taipei,235,7285,0.6,6363,28040272,24271343,57902942,3848.98,4407,1/1/2020
寒軒國際大飯店,Kaohsiung,380,11780,0.54,2439,15609856,28663993,45592491,1325.11,6400,1/1/2020
寶華⼤飯店,Others,78,2418,0.02,1242,70800,0,72800,29.31,57,1/1/2020
尊爵⼤飯店,Taoyuan-Hsinchu-Miaoli,231,7161,0.71,2297,11607962,27962768,42159676,1621.22,5054,1/1/2020
尊爵天際⼤飯店,Taoyuan-Hsinchu-Miaoli,250,7750,0.77,2292,13614272,23872703,37933774,1756.36,5939,1/1/2020
⼭泉⼤飯店,Others,146,4526,0.48,2465,5330977,1162057,6834772,1178.02,2163,1/1/2020
幼獅⼤飯店,Others,55,1705,0.21,1978,723980,0,766480,424.68,366,1/1/2020
康華大飯店,Taipei,215,6665,0.43,2580,7351665,16617738,25373315,1102.95,2849,1/1/2020
悅川酒店,Others,103,3193,0.61,4166,8090251,8377490,16467741,2533.76,1942,1/1/2020
慶泰大飯店,Taipei,150,4650,0.64,2957,8869239,10310775,19650154,1906.97,2999,1/1/2020
新竹喜來登大飯店,Taoyuan-Hsinchu-Miaoli,386,11966,0.72,3730,31946505,63405371,106386350,2669.93,8565,1/1/2020
新⽵國賓⼤飯店,Taoyuan-Hsinchu-Miaoli,257,7967,0.64,3419,17549123,50758831,74752352,2202.86,5133,1/1/2020
新⽵老爺⼤酒店,Taoyuan-Hsinchu-Miaoli,208,6448,0.57,3086,11315032,20870897,33554167,1755.01,3667,1/1/2020
⽇勝⽣加賀屋國際溫泉飯店,Taipei,90,2790,0.69,9720,18690871,14537090,45680427,6699.02,1923,1/1/2020
日月行館,Scenery,92,2852,0.34,10427,9978793,3854301,13903713,3499.3,957,1/1/2020
晶悅國際飯店,Taoyuan-Hsinchu-Miaoli,383,11873,0.51,1844,11167532,14325453,27639563,940.44,6055,1/1/2020
晶英國際⾏館,Kaohsiung,147,4557,0.32,7844,11436898,13600111,27781881,2509.3,1458,1/1/2020
晶華酒店,Taipei,538,16678,0.75,5961,74087190,196615634,328566554,4442.14,12428,1/1/2020
板橋凱撒⼤飯店,Others,400,12400,0.74,4035,37068701,14513625,51640612,2989.13,9186,1/1/2020
桃園喜來登酒店,Taoyuan-Hsinchu-Miaoli,190,5890,0.38,2845,6415551,16209180,24334266,1089.35,2255,1/1/2020
樂樂⽇暉溫泉酒店,Others,48,1488,0.33,2459,1217288,0,1222428,818.11,495,1/1/2020
歐華酒店,Taipei,112,3472,0.32,3405,3755558,6137198,10924046,1081.77,1103,1/1/2020
洛碁⼤飯店花華本館,Taipei,112,3472,0.75,1937,5041554,0,5041554,1452.17,2603,1/1/2020
海灣藝術酒店,Taichung,226,7006,0.3,1330,2797488,1216250,4036677,399.27,2103,1/1/2020
涵碧樓⼤飯店,Scenery,96,2976,0.7,14203,29640658,6531247,40062453,9960.56,2087,1/1/2020
漢來⼤飯店,Kaohsiung,535,16585,0.7,3315,38411781,124982102,178697623,2315.86,11586,1/1/2020
澎湖福朋喜來登酒店,Others,331,10261,0.1,2131,2271435,8036198,11812228,221.41,1066,1/1/2020
瑞穗天合國際觀光酒店,Hualien,198,6138,0.52,9701,30772147,13282691,49456575,5013.48,3172,1/1/2020
瓏山林台北中和飯店,Others,126,3906,0.37,2490,3568161,8469266,13899970,913.58,1433,1/1/2020
知本老爺⼤酒店,Scenery,182,5642,0.84,5109,24165665,13060271,42813008,4283.39,4730,1/1/2020
碧特弗⼤飯店,Others,54,1674,0.39,2158,1419977,172903,1592880,848.31,658,1/1/2020
礁溪老爺大酒店,Scenery,197,6107,0.79,9048,43674245,25126828,80726605,7151.54,4827,1/1/2020
