Area,Date,Room,Supply,Demand,Occupancy,ADR,RevPAR,Room_Revenue,F&B_Revenue,Total_Revenue
Taoyuan-Hsinchu-Miaoli,10/31/2020,3656,113336,54438,0.48,2987.33,1434.89,162624227,243725408,448369913
Taoyuan-Hsinchu-Miaoli,11/30/2020,3656,109680,43444,0.4,2915.29,1154.74,126652055,205311641,365531607
Taoyuan-Hsinchu-Miaoli,12/31/2020,3656,113336,40392,0.36,3392.4,1209.02,137025713,246272696,416825088
Overall,1/31/2020,28590,886290,522038,0.59,4177.49,2460.61,2180810143,3158882471,5954012828
Overall,2/29/2020,28509,826761,285637,0.35,3655.84,1263.05,1044241887,1227651723,2625090267
Overall,3/31/2020,28595,886445,157191,0.18,3343.81,592.95,525616054,893183278,1698587213
Overall,4/30/2020,28594,857820,129777,0.15,3282.54,496.61,425998598,730926016,1399631627
Overall,5/31/2020,28409,880679,188724,0.21,3134.07,671.61,591473292,1228739132,2203468309
Overall,6/30/2020,28503,855090,293415,0.34,3364.63,1154.54,987231644,1505597842,2898421619
Overall,7/31/2020,27978,867318,391345,0.45,3658.12,1650.59,1431586781,1800072427,3696812458
Overall,8/31/2020,27974,867194,455162,0.52,3708.43,1946.43,1687935933,2002761137,4226203338
Overall,9/30/2020,27977,839310,393212,0.47,3281.58,1537.4,1290354867,1983183003,3749750410
Overall,10/31/2020,27962,866822,447836,0.52,3550.45,1834.31,1590018735,2098826841,4166579142
Overall,11/30/2020,27968,839040,359401,0.43,3473.46,1487.85,1248364252,1920506705,3591135543
Overall,12/31/2020,27925,865675,391179,0.45,3734.55,1687.56,1460876555,2310227260,4254115135
