Hotel,Area,Room,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Supply,Date
圓山大飯店,Taipei,466,11253,0.778969957081545,2810.331467164312,31624660,59805506,106632109,2189.1637823619,14446,2020-12-31
國賓大飯店,Taipei,422,3209,0.2452988839626968,2196.010283577438,7046997,78662052,91929262,538.6788717321508,13082,2020-12-31
台北華國大飯店,Taipei,326,1551,0.153473184246982,3732.965183752418,5789829,7621243,14250711,572.9100534336038,10106,2020-12-31
華泰王子大飯店,Taipei,202,1987,0.3173107633343979,1757.084046300956,3491326,10296737,16175241,557.5416799744489,6262,2020-12-31
豪景大酒店,Taipei,209,653,0.1007871585121161,1860.480857580398,1214894,299012,1802900,187.51257910171327,6479,2020-12-31
國王大飯店,Taipei,97,341,0.1134020618556701,1297.0,442277,216438,703415,147.08247422680412,3007,2020-12-31
台北凱撒大飯店,Taipei,478,7753,0.5232150087731138,2203.357152070166,17082628,24728088,46499103,1152.829531650695,14818,2020-12-31
康華大飯店,Taipei,215,1349,0.2024006001500375,2024.888065233506,2731574,7840306,11260359,409.8385596399099,6665,2020-12-31
兄弟大飯店,Taipei,250,4401,0.5678709677419355,1921.485344239946,8456457,39813908,53105435,1091.1557419354842,7750,2020-12-31
三德大飯店,Taipei,287,1804,0.2027649769585254,2873.984478935698,5184668,974186,7288745,582.7433966505565,8897,2020-12-31
亞都麗緻大飯店,Taipei,209,2028,0.3130112671708597,2838.023668639053,5755512,17191756,27909037,888.333384781602,6479,2020-12-31
國聯大飯店,Taipei,243,3101,0.4116553829815479,1525.052886165753,4729189,598131,5875471,627.7962299216781,7533,2020-12-31
台北寒舍喜來登大飯店,Taipei,688,8162,0.3826894223555889,3203.027444253859,26143110,113942331,157051512,1225.7647224306074,21328,2020-12-31
老爺大酒店,Taipei,202,4124,0.6585755349728522,2412.904219204656,9950817,25602981,40531592,1589.0796870009583,6262,2020-12-31
福華大飯店,Taipei,606,5116,0.2723304588523369,2741.790461297889,14027000,36262000,63652000,746.6730544022147,18786,2020-12-31
台北君悅酒店,Taipei,850,9257,0.3513092979127135,5098.121853732311,47193314,106571130,173492421,1791.0176091081596,26350,2020-12-31
西華大飯店,Taipei,343,2771,0.26060378068278,3278.956333453627,9085988,19353585,31404625,854.5084171917615,10633,2020-12-31
晶華酒店,Taipei,538,9728,0.583283367310229,3717.151418585526,36160449,147591074,204925670,2168.15259623456,16678,2020-12-31
香格里拉台北遠東國際大飯店,Taipei,420,4408,0.3385560675883256,5340.585753176044,23541302,68538248,109216672,1808.0877112135177,13020,2020-12-31
神旺大飯店,Taipei,268,301,0.03623013962445835,3027.511627906977,911281,22586805,24904021,109.68716899374097,8308,2020-12-31
美麗信花園酒店,Taipei,203,2851,0.4530430637215954,1609.28340933006,4588067,3762743,11613251,729.0746861592247,6293,2020-12-31
台北寒舍艾美酒店,Taipei,160,1760,0.3548387096774194,7992.740340909091,14067223,72487139,95273565,2836.1336693548387,4960,2020-12-31
台北W飯店,Taipei,405,5276,0.4202309836718439,6817.355761940864,35968369,46898960,93321276,2864.8641178813223,12555,2020-12-31
台北萬豪酒店,Taipei,318,4943,0.5014201663623453,4352.228201497067,21513064,89150216,140128120,2182.29498884155,9858,2020-12-31
台北美福大飯店,Taipei,146,1635,0.361246133451171,5432.770642201835,8882580,76068705,91549037,1962.567388422448,4526,2020-12-31
天成大飯店,Taipei,225,4080,0.5849462365591398,1738.584803921569,7093426,28078578,38144306,1016.9786379928318,6975,2020-12-31
六福客棧,Taipei,230,1812,0.2541374474053296,990.849889624724,1795420,0,1974706,251.81206171107996,7130,2020-12-31
第一大飯店,Taipei,176,1439,0.2637463343108504,1308.970118137596,1883608,3156349,24425201,345.2360703812318,5456,2020-12-31
慶泰大飯店,Taipei,150,1246,0.2679569892473118,2052.859550561798,2557863,2830441,5840440,550.0780645161291,4650,2020-12-31
歐華酒店,Taipei,112,564,0.162442396313364,2648.833333333333,1493942,7024813,9371777,430.28283410138226,3472,2020-12-31
福容大飯店 台北一館,Taipei,120,924,0.2483870967741935,2902.507575757576,2681917,10192088,13908599,720.9454301075268,3720,2020-12-31
首都大飯店,Taipei,129,0,0.0,,0,0,179189,,3999,2020-12-31
台北君品大酒店,Taipei,286,3229,0.364200315813219,3234.547228244038,10444353,57044732,71927304,1178.0231220392507,8866,2020-12-31
台北花園大酒店,Taipei,241,3048,0.4079775130504618,1491.778215223097,4546940,24243387,31521061,608.6119662695758,7471,2020-12-31
日勝生加賀屋國際溫泉飯店,Taipei,90,2055,0.7365591397849462,8959.110948905109,18410973,15557432,44615403,6598.9150537634405,2790,2020-12-31
北投麗禧溫泉酒店,Taipei,66,1673,0.8176930596285436,14085.09982068141,23564372,10261057,44406133,11517.28836754643,2046,2020-12-31
寒舍艾麗酒店,Taipei,235,2479,0.3402882635552505,5196.29366680113,12881612,16905526,32642700,1768.2377487989017,7285,2020-12-31
北投老爺酒店,Taipei,50,1021,0.6587096774193548,6179.385896180215,6309153,4328271,12969745,4070.4212903225803,1550,2020-12-31
台北有園飯店,Taipei,56,689,0.396889400921659,2469.499274310595,1701485,0,2357377,980.1180875576036,1736,2020-12-31
合尊酒店 S Hotel,Taipei,101,1889,0.6033216224848291,3481.191106405506,6575970,2024906,9483087,2100.2778664963275,3131,2020-12-31
台北中山雅樂軒酒店,Taipei,88,1822,0.6678885630498533,2331.786498353458,4248515,1062087,5897536,1557.3735337243402,2728,2020-12-31
義華酒店,Taipei,149,1020,0.2208270188352457,3244.0,3308880,111363,3810482,716.362849101537,4619,2020-12-31
華園大飯店,Kaohsiung,269,3850,0.4616860534836311,1515.710649350649,5835486,3497762,9638670,699.782467921813,8339,2020-12-31
高雄國賓大飯店,Kaohsiung,453,9506,0.6769208858506017,2140.789501367557,20350345,43674854,65611284,1449.1451256853948,14043,2020-12-31
漢來大飯店,Kaohsiung,535,9978,0.6016279770877299,2794.629284425737,27884811,83583068,129667173,1681.327163099186,16585,2020-12-31
高雄福華大飯店,Kaohsiung,271,4884,0.5813593619807166,2254.004914004914,11008560,27858933,42681273,1310.3868587072968,8401,2020-12-31
寒軒國際大飯店,Kaohsiung,380,5105,0.4333616298811545,1994.068168462292,10179718,15417114,26546323,864.1526315789474,11780,2020-12-31
麗尊大酒店,Kaohsiung,188,2990,0.5130404941660948,2063.0,6168370,17028568,23692439,1058.4025394646535,5828,2020-12-31
義大皇家酒店,Kaohsiung,656,7944,0.3906372934697089,3527.14224572004,28019618,24295496,55792671,1377.8333005507473,20336,2020-12-31
福容大飯店 高雄,Kaohsiung,250,3552,0.4583225806451613,2023.584459459459,7187772,2959156,10150664,927.454451612903,7750,2020-12-31
晶英國際行館,Kaohsiung,147,2061,0.4522712310730744,7447.009704027171,15348287,18853625,37376043,3368.0682466535,4557,2020-12-31
全國大飯店,Taichung,178,2484,0.4501631025733961,2098.725442834138,5213234,12194016,19578790,944.7687567959402,5518,2020-12-31
長榮桂冠酒店(台中),Taichung,354,6212,0.5660652451248406,2169.590792015454,13477498,23713410,41725011,1228.129943502825,10974,2020-12-31
台中福華大飯店,Taichung,155,2900,0.603537981269511,2648.213793103448,7679820,14473538,24803987,1598.2976066597294,4805,2020-12-31
台中金典酒店,Taichung,222,4006,0.5820982272595175,2763.320019970045,11069860,18892092,40410379,1608.5236849752978,6882,2020-12-31
海灣藝術酒店,Taichung,226,3379,0.4823008849557522,2053.509914175791,6938810,1435200,8885735,990.4096488723947,7006,2020-12-31
裕元花園酒店,Taichung,149,2715,0.5877895648408746,3058.664825046041,8304275,25038404,37860631,1797.8512665079024,4619,2020-12-31
台中港酒店,Taichung,200,3355,0.5411290322580645,2749.380923994039,9224173,1787023,13255159,1487.7698387096777,6200,2020-12-31
花蓮亞士都飯店,Hualien,168,1191,0.2286866359447005,1325.776658270361,1579000,800000,2399558,303.18740399385564,5208,2020-12-31
花蓮翰品酒店,Hualien,197,3489,0.5713116096282954,2295.19403840642,8007932,9832015,18571521,1311.2710004912396,6107,2020-12-31
美侖大飯店,Hualien,343,2136,0.2008840402520455,2328.389981273408,4973441,4261025,9599334,467.7363867205868,10633,2020-12-31
遠雄悅來大飯店,Hualien,381,6954,0.588773177546355,3078.228501581823,21406001,14879425,42384061,1812.378376090085,11811,2020-12-31
瑞穗天合國際觀光酒店,Hualien,198,5058,0.8240469208211144,7618.046658758402,38532080,18765625,66516844,6277.62789182144,6138,2020-12-31
尊爵天際大飯店,Taoyuan-Hsinchu-Miaoli,250,2221,0.2865806451612903,2242.368302566411,4980300,25742317,31045939,642.6193548387095,7750,2020-12-31
南方莊園渡假飯店,Taoyuan-Hsinchu-Miaoli,111,1889,0.5489683231618715,3025.713605082054,5715573,17188357,27289300,1661.0209241499563,3441,2020-12-31
台北諾富特華航桃園機場飯店,Taoyuan-Hsinchu-Miaoli,516,31,0.001937984496124031,563387.3225806452,17465007,14426611,35297821,1091.8358964741185,15996,2020-12-31
桃園喜來登酒店,Taoyuan-Hsinchu-Miaoli,190,3097,0.5258064516129032,1689.435582822086,5232182,10644487,17392722,888.316129032258,5890,2020-12-31
名人堂花園大飯店,Taoyuan-Hsinchu-Miaoli,128,1806,0.4551411290322581,5120.749723145072,9248074,17475585,34527926,2330.663810483871,3968,2020-12-31
和逸飯店桃園青埔館,Taoyuan-Hsinchu-Miaoli,218,4187,0.619562000591891,5298.074277525675,22183037,23080545,45464293,3282.485498668245,6758,2020-12-31
新竹喜來登大飯店,Taoyuan-Hsinchu-Miaoli,386,5558,0.4644827009861274,2852.626484346888,15854898,37716337,60856545,1324.9956543540034,11966,2020-12-31
新竹老爺大酒店,Taoyuan-Hsinchu-Miaoli,208,3113,0.4827853598014888,2519.81336331513,7844179,14053156,22900097,1216.5290012406947,6448,2020-12-31
新竹國賓大飯店,Taoyuan-Hsinchu-Miaoli,257,3471,0.4356721476088867,2699.524344569289,9370049,39059909,52235858,1176.1075687209743,7967,2020-12-31
尊爵大飯店,Taoyuan-Hsinchu-Miaoli,231,1655,0.2311129730484569,3588.024773413897,5938181,11460758,18441942,829.2390727552017,7161,2020-12-31
古華花園飯店,Taoyuan-Hsinchu-Miaoli,255,5130,0.6489563567362429,2604.165302144249,13359368,18483053,32848743,1689.9896268184689,7905,2020-12-31
福容大飯店 桃園,Taoyuan-Hsinchu-Miaoli,182,2143,0.3798298475717831,2172.873075128325,4656467,5303647,10747571,825.3220489188234,5642,2020-12-31
福容大飯店 林口,Taoyuan-Hsinchu-Miaoli,149,1778,0.3849318034206538,2673.656355455568,4753761,2299897,7073758,1029.1753626326042,4619,2020-12-31
豐邑喜來登大飯店,Taoyuan-Hsinchu-Miaoli,384,1390,0.1167674731182796,2851.60071942446,3963725,4270207,8901177,332.9742103494624,11904,2020-12-31
馥藝金鬱金香酒店,Taoyuan-Hsinchu-Miaoli,191,2923,0.49366661036987,2210.370167635991,6460912,5067830,11801396,1091.185948319541,5921,2020-12-31
陽明山中國麗緻大飯店,Scenery,47,667,0.457789979409746,4103.590704647676,2737095,2362194,7328791,1878.5827041866846,1457,2020-12-31
趣淘漫旅,Scenery,198,4738,0.7719126751384816,2618.511397214014,12406507,2778757,16972908,2021.2621375040726,6138,2020-12-31
高雄圓山大飯店,Scenery,107,1700,0.5125113053964425,2319.297058823529,3942805,18231661,23159788,1188.6659632197766,3317,2020-12-31
礁溪老爺大酒店,Scenery,197,5128,0.8396921565416735,8154.165756630266,41814562,23969762,78153615,6846.989028983135,6107,2020-12-31
涵碧樓大飯店,Scenery,96,2655,0.8921370967741935,15308.83050847458,40644945,8952811,55960976,13657.575604838714,2976,2020-12-31
雲品溫泉酒店日月潭,Scenery,211,5809,0.888090506038832,9711.46410741952,56413895,27868873,90230175,8624.659073536155,6541,2020-12-31
日月行館,Scenery,92,833,0.2920757363253857,13638.61104441777,11360963,6232060,18014774,3983.507363253858,2852,2020-12-31
凱撒大飯店,Scenery,281,7390,0.8483526575594077,4472.416102841678,33051155,7537674,42775490,3794.186086557227,8711,2020-12-31
墾丁福華渡假飯店,Scenery,458,5630,0.3965347232004507,2769.580106571936,15592736,6785759,23116958,1098.2346809409773,14198,2020-12-31
知本老爺大酒店,Scenery,182,5278,0.9354838709677419,4785.872110647972,25259833,12402777,42252053,4477.106168025522,5642,2020-12-31
太魯閣晶英酒店,Scenery,160,4233,0.8534274193548387,8827.666902905741,37367514,10962941,54004305,7533.772983870968,4960,2020-12-31
福容大飯店 福隆,Scenery,174,1221,0.2263626251390434,4300.1638001638,5250500,3539079,9001883,973.3963663329627,5394,2020-12-31
龍谷大飯店,Scenery,189,1949,0.3326506229732036,1742.057978450487,3395271,1107952,5299637,579.4966717869942,5859,2020-12-31
阿里山賓館,Scenery,35,580,0.5345622119815668,5374.239655172414,3117059,0,3117059,2872.865437788019,1085,2020-12-31
名都觀光渡假大飯店,Scenery,97,390,0.1296973727968075,2310.892307692308,901248,2079429,3079713,299.71666112404404,3007,2020-12-31
阿里山賓館(新館),Scenery,104,2956,0.9168734491315137,5148.370771312585,15218584,9914958,25552093,4720.404466501242,3224,2020-12-31
墾丁怡灣渡假酒店,Scenery,234,2050,0.2826027019575407,2403.029756097561,4926211,906006,5963807,679.1027019575408,7254,2020-12-31
福容大飯店 淡水漁人碼頭,Others,198,2826,0.4604105571847507,4435.846072186837,12535701,12169836,26484500,2042.3103616813296,6138,2020-12-31
大板根渡假酒店,Others,95,2911,0.9884550084889644,6815.00858811405,19838490,16198692,58043350,6736.329371816639,2945,2020-12-31
板橋凱撒大飯店,Others,400,8812,0.7106451612903226,3968.23025419882,34968045,12576605,47557569,2820.0036290322587,12400,2020-12-31
台南大飯店,Others,152,2333,0.4951188455008489,2038.416630947278,4755626,8216240,14215333,1009.2584889643463,4712,2020-12-31
台糖長榮酒店(台南),Others,197,3988,0.6530211233011298,2455.392176529589,9792104,25258503,36778180,1603.4229572621582,6107,2020-12-31
香格里拉台南遠東國際大飯店,Others,331,7179,0.6996394113634149,3419.976041231369,24552008,32943156,64168988,2392.750024364097,10261,2020-12-31
台南大員皇冠假日酒店,Others,231,4993,0.6972489875715682,3371.653314640497,16834665,20881002,41543030,2350.8818600754084,7161,2020-12-31
蘭城晶英酒店,Others,193,4741,0.7924118335283302,9075.1379455811,43025229,43734731,96857563,7191.246698980443,5983,2020-12-31
長榮鳳凰酒店(礁溪),Others,231,4749,0.6631755341432761,6060.695935986523,28782245,20595982,58453479,4019.305264627845,7161,2020-12-31
綠舞國際觀光飯店,Others,104,1768,0.5483870967741935,5238.779411764706,9262162,5255191,16314063,2872.8790322580644,3224,2020-12-31
麒麟大飯店,Others,167,2352,0.4543171721073981,2958.12712585034,6957515,2190572,9397673,1343.9279505505117,5177,2020-12-31
娜路彎大酒店,Others,276,4358,0.5093501636278635,3955.610371730152,17238550,9749403,27791732,2014.7907900888267,8556,2020-12-31
樂樂日暉溫泉酒店,Others,48,320,0.2150537634408602,2506.321875,802023,0,802023,538.9939516129032,1488,2020-12-31
耐斯王子大飯店,Others,245,3491,0.4596445029624753,2260.545975365225,7891566,11965137,20944534,1039.0475312705726,7595,2020-12-31
澎湖福朋喜來登酒店,Others,331,2591,0.2525095019978559,2181.037051331532,5651067,10578947,18321395,550.7325796705971,10261,2020-12-31
瓏山林台北中和飯店,Others,126,1041,0.2665130568356375,2316.500480307397,2411477,3875242,7220906,617.3776241679468,3906,2020-12-31
碧特弗大飯店,Others,54,185,0.1105137395459976,2907.275675675676,537846,168019,705865,321.2939068100359,1674,2020-12-31
美麗春天大飯店,Others,34,119,0.1129032258064516,2907.915966386555,346042,137472,483514,328.31309297912713,1054,2020-12-31
遠百企業觀光旅館,Others,40,38,0.03064516129032258,1000.0,38000,0,38000,30.64516129032258,1240,2020-12-31
幼獅大飯店,Others,55,189,0.110850439882698,1951.851851851852,368900,0,387880,216.36363636363646,1705,2020-12-31
山泉大飯店,Others,146,3549,0.7841361025187804,1907.282051282051,6768944,1002967,8180959,1495.568714096332,4526,2020-12-31
悅川酒店,Others,103,2036,0.6376448481052301,4037.494597249509,8220339,5788168,14008507,2574.4876291888504,3193,2020-12-31
台東桂田喜來登酒店,Others,290,5752,0.6398220244716352,2549.718358831711,14665980,20538332,39193744,1631.3659621802005,8990,2020-12-31
長榮桂冠酒店(基隆),Others,140,3233,0.7449308755760369,2493.226105784101,8060600,5564344,15596191,1857.281105990783,4340,2020-12-31
鈺通大飯店,Others,120,917,0.246505376344086,2074.935659760087,1902716,5926111,7841177,511.4827956989247,3720,2020-12-31
寶華大飯店,Others,78,89,0.03680727874276261,1281.280898876405,114034,0,116034,47.16046319272127,2418,2020-12-31
陸島酒店,Others,47,519,0.3562113932738504,1267.803468208092,657990,82560,741687,451.6060398078241,1457,2020-12-31
Total,Total,27925,391179,0.45,3734.55,1460876555,2310227260,4254115135,1687.56,865675,2020-12-31
