Hotel,Area,Room,Supply,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Demand,Date
板橋凱撒⼤飯店,Others,400,12400,0.26,2441.00,7871732,7571504,33113627,634.90,3225,2020-05-31
遠百企業觀光旅館,Others,40,1240,0.05,1000.00,56000,0,56000,45.20,56,2020-03-31
華泰王子大飯店,Taipei,203,6293,0.24,1574.11,2424132,9573957,14335727,385.21,1540,2020-10-31
國賓⼤飯店,Taipei,422,12238,0.37,3374.00,15470969,50228203,70427005,1264.24,4586,2020-02-29
福容⼤飯店桃園,Taoyuan-Hsinchu-Miaoli,182,5278,0.21,2202.00,2477436,1903400,4648477,469.25,1125,2020-02-29
陽明山中國麗緻大飯店,Scenery,47,1457,0.34,3717.20,1817710,2448818,6139709,1247.57,489,2020-07-31
台北君悅酒店,Taipei,850,26350,0.19,4440.36,22605895,74651344,111561237,857.91,5091,2020-08-31
福容大飯店 高雄,Kaohsiung,250,7750,0.57,2257.95,10009507,3668977,13689845,1291.55,4433,2020-08-31
晶英國際⾏館,Kaohsiung,147,4557,0.00,0.00,3874007,10980830,16929441,0.00,0,2020-05-31
海灣藝術酒店,Taichung,226,7006,0.02,1858.00,243414,558314,936602,34.74,131,2020-03-31
⼤板根渡假酒店,Others,95,2945,0.44,4280.00,5482751,9043820,24396489,1861.80,1281,2020-05-31
神旺大飯店,Taipei,268,8308,0.02,2864.28,461149,20980224,22912429,55.51,161,2020-10-31
馥藝金鬱金香酒店,Taoyuan-Hsinchu-Miaoli,191,5730,0.64,1959.75,7174636,4076292,11570673,1252.12,3661,2020-09-30
台南⼤飯店,Others,152,4560,0.31,1935.00,2763536,2714055,5731957,606.04,1428,2020-04-30
華泰王子大飯店,Taipei,220,6820,0.21,1397.32,1991178,10235530,14557901,291.96,1425,2020-08-31
豪景大酒店,Taipei,209,6479,0.00,2532.14,17725,0,454725,2.74,7,2020-07-31
晶悅國際飯店,Taoyuan-Hsinchu-Miaoli,376,10904,0.12,1865.00,2364828,2204132,4955221,216.90,1268,2020-02-29
花蓮翰品酒店,Hualien,197,6107,0.55,1968.00,6625811,5801190,12837662,1084.76,3366,2020-05-31
日月行館,Scenery,92,2852,0.35,13764.63,13805924,1748533,15830395,4840.79,1003,2020-08-31
福容大飯店 林口,Taoyuan-Hsinchu-Miaoli,149,4619,0.68,1444.34,4569886,1739709,6317802,989.37,3164,2020-08-31
福容⼤飯店桃園,Taoyuan-Hsinchu-Miaoli,182,5460,0.10,2073.00,1117456,1671942,3294812,204.61,539,2020-04-30
國聯大飯店,Taipei,243,7290,0.33,1339.68,3252755,519582,4177264,446.19,2428,2020-09-30
台北有園飯店,Taipei,56,1680,0.39,212.75,137860,0,837795,82.06,648,2020-11-30
名都觀光渡假大飯店,Scenery,97,3007,0.09,3121.76,830389,1331185,2230044,276.15,266,2020-07-31
Total,Total,28595,886445,0.18,3343.81,525616054,893183278,1698587213,592.95,157191,2020-03-31
陸島酒店,Others,47,1457,0.00,0.00,39309,3040,42349,0.00,0,2020-03-31
澎湖福朋喜來登酒店,Others,331,10261,0.85,3676.45,31981465,29602997,69106905,3116.80,8699,2020-08-31
寒舍艾麗酒店,Taipei,235,7050,0.52,3108.00,11319815,3910955,17213933,1605.59,3642,2020-06-30
台南大飯店,Others,152,4712,0.62,2246.46,6521471,7984940,15409107,1384.01,2903,2020-08-31
康華大飯店,Taipei,215,6665,0.05,1757.01,634279,7134881,8497930,95.17,361,2020-07-31
亞都麗緻⼤飯店,Taipei,209,6270,0.19,3046.00,3572980,8486471,15635392,569.91,1173,2020-06-30
⻄華⼤飯店,Taipei,343,10633,0.70,4310.00,31908855,25824358,63674142,3001.05,7404,2020-01-31
趣淘漫旅,Scenery,198,6138,0.77,2618.51,12406507,2778757,16972908,2021.26,4738,2020-12-31
⽇⽉⾏館,Scenery,92,2852,0.16,11185.00,5201237,841201,6270061,1823.16,465,2020-05-31
西華大飯店,Taipei,343,10633,1.00,655.85,6973669,13742621,23807028,655.85,10633,2020-08-31
義華酒店,Taipei,149,4619,0.17,2785.00,2236355,133588,2550172,484.16,803,2020-07-31
⾸都⼤飯店,Taipei,129,3999,0.40,3193.00,5115643,3343012,9102926,1279.12,1602,2020-01-31
洛碁⼤飯店花華本館,Taipei,112,3472,0.00,1195.00,8368,0,8368,2.39,7,2020-05-31
⽇勝⽣加賀屋國際溫泉飯店,Taipei,90,2700,0.40,3209.00,3507771,2933003,9355245,1299.00,1093,2020-04-30
阿里山賓館(新館),Scenery,104,3224,0.92,5148.37,15218584,9914958,25552093,4720.40,2956,2020-12-31
碧特弗⼤飯店,Others,54,1674,0.03,2734.00,147617,19616,167233,88.31,54,2020-03-31
台南⼤員皇冠假⽇酒店,Others,231,6699,0.48,2849.00,9226492,10794547,22063095,1377.49,3239,2020-02-29
福容⼤飯店淡⽔漁⼈碼頭,Others,198,5940,0.17,2985.00,3024224,6032291,9694059,508.94,1013,2020-04-30
趣淘漫旅,Scenery,198,6138,0.39,2298.00,5528522,1119617,7891518,900.82,2406,2020-05-31
第一⼤飯店,Taipei,176,5456,0.55,1625.00,4899747,3587320,27984442,898.30,3016,2020-01-31
新竹喜來登大飯店,Taoyuan-Hsinchu-Miaoli,386,11966,0.60,2763.58,19737505,31587155,58323004,1649.47,7142,2020-08-31
台北花園⼤酒店,Taipei,241,7230,0.11,1283.00,979267,7670181,9662688,135.36,763,2020-04-30
瑞穗天合國際觀光酒店,Hualien,198,5742,0.45,7419.00,19134420,9157837,32512183,3331.87,2579,2020-02-29
遠百企業觀光旅館,Others,40,1240,0.03,1005.00,39200,0,39200,31.66,39,2020-05-31
悅川酒店,Others,103,3090,0.40,2432.00,3005514,3389789,6395303,972.80,1236,2020-04-30
晶華酒店,Taipei,538,16140,0.21,4079.00,13877109,56071117,106647952,859.85,3402,2020-04-30
海灣藝術酒店,Taichung,226,6554,0.12,1572.00,1237452,415820,1685818,188.80,787,2020-02-29
美麗信花園酒店,Taipei,203,6293,0.47,1284.88,3812226,2816302,9830286,605.79,2967,2020-10-31
義華酒店,Taipei,149,4470,0.07,3203.00,989727,102501,2517732,221.33,309,2020-04-30
台北諾富特華航桃園機場飯店,Taoyuan-Hsinchu-Miaoli,516,15996,0.17,2741.00,7575673,4523621,13578307,473.64,2764,2020-03-31
亞⼠都飯店,Taipei,40,1240,0.05,2291.00,155764,0,155764,125.55,68,2020-03-31
台北有園飯店,Taipei,56,1680,0.06,2252.00,209404,0,550703,124.76,93,2020-04-30
礁溪老爺大酒店,Scenery,197,5910,0.78,7874.60,36168028,20448686,68213916,6119.80,4593,2020-11-30
耐斯王子大飯店,Others,245,7595,0.67,1837.25,9373663,12737857,22932286,1234.19,5102,2020-07-31
台北寒舍喜來登⼤飯店,Taipei,688,20640,0.23,2797.00,13284934,79469720,105387071,643.59,4750,2020-06-30
⻑榮桂冠酒店(基隆),Others,140,4340,0.11,2612.00,1258993,788281,3566160,290.19,482,2020-03-31
澎湖福朋喜來登酒店,Others,331,9599,0.09,2187.00,1856903,4861609,7500638,193.33,849,2020-02-29
台南⼤員皇冠假⽇酒店,Others,231,7161,0.57,3825.00,15560778,26061160,45408299,2172.98,4068,2020-01-31
晶英國際行館,Kaohsiung,147,4557,0.45,7447.01,15348287,18853625,37376043,3368.07,2061,2020-12-31
豪景⼤酒店,Taipei,209,6061,0.30,1872.00,3451013,715156,4415164,569.28,1843,2020-02-29
凱撒⼤飯店,Scenery,281,8149,0.91,4169.00,31048487,6696286,39600140,3810.47,7448,2020-02-29
綠舞國際觀光飯店,Others,104,3224,0.62,5329.00,10705954,4730110,17687529,3320.71,2009,2020-10-31
⾼雄國賓⼤飯店,Kaohsiung,453,13137,0.41,2077.00,11124720,27331902,39698736,846.79,5356,2020-02-29
歐華酒店,Taipei,112,3472,0.10,2577.78,899644,4840786,6361765,259.11,349,2020-08-31
全國⼤飯店,Taichung,178,5518,0.19,1792.00,1921070,6247825,15333751,348.19,1072,2020-05-31
西華大飯店,Taipei,343,10633,0.30,2470.97,7786018,12960670,23476204,732.25,3151,2020-10-31
阿里山賓館(新館),Scenery,104,3224,0.91,5386.55,15717953,9649593,25843615,4875.30,2918,2020-10-31
台北華國大飯店,Taipei,326,10106,0.11,1608.35,1761140,13708286,16649792,174.27,1095,2020-07-31
Total,Total,28509,826761,0.35,3655.84,1044241887,1227651723,2625090267,1263.05,285637,2020-02-29
首都大飯店,Taipei,129,3999,0.28,2012.30,2261820,1197289,3932137,565.60,1124,2020-10-31
新⽵老爺⼤酒店,Taoyuan-Hsinchu-Miaoli,208,6448,0.18,2592.00,3056177,4949449,8521987,473.82,1179,2020-03-31
遠百企業觀光旅館,Others,40,1200,0.03,1010.00,40400,0,40400,33.63,40,2020-06-30
綠舞國際觀光飯店,Others,104,3120,0.12,5003.00,1800957,971128,3364087,577.35,360,2020-04-30
國王大飯店,Taipei,97,2910,0.01,1958.63,52883,194154,293952,18.17,27,2020-09-30
北投麗禧溫泉酒店,Taipei,66,2046,0.31,13064.36,8321997,4059273,15991054,4067.45,637,2020-07-31
合尊酒店,Taipei,101,3030,0.63,3582.00,6853209,2410197,10189747,2261.67,1913,2020-04-30
北投麗禧溫泉酒店,Taipei,66,2046,0.82,14085.10,23564372,10261057,44406133,11517.29,1673,2020-12-31
神旺⼤飯店,Taipei,268,8040,0.02,2800.00,417214,18608094,19838818,51.80,149,2020-04-30
慶泰大飯店,Taipei,150,4500,0.01,1345.83,32300,2238722,2544438,7.18,24,2020-09-30
台東桂⽥喜來登酒店,Others,278,8340,0.26,2564.00,5591255,3854929,10360768,670.49,2181,2020-04-30
長榮桂冠酒店(台中),Taichung,354,10974,0.77,2292.21,19263702,26839749,51524473,1755.39,8404,2020-08-31
花蓮翰品酒店,Hualien,197,5910,0.75,2493.00,11120613,6313711,17946948,1881.72,4461,2020-06-30
台北W飯店,Taipei,405,12555,0.34,5969.62,25364936,27080262,59099844,2020.31,4249,2020-08-31
龍谷大飯店,Scenery,189,5670,0.34,1804.74,3524648,1374804,5410452,621.63,1953,2020-11-30
名都觀光渡假大飯店,Scenery,97,2910,0.13,1689.02,662095,1605672,2357295,227.52,392,2020-09-30
阿⾥⼭賓館(新館),Scenery,104,3224,0.64,6347.00,13042790,7414941,20915435,4045.58,2055,2020-01-31
